code,title,description
090673,CANNOT_DROP_LISTING_DIRECTLY,CANNOT_DROP_LISTING_DIRECTLY
090674,CANNOT_MODIFY_RETIRED_LISTING_090674,CANNOT_MODIFY_RETIRED_LISTING_090674
391810,CANNOT_REPLICATE_TAGS_391810,CANNOT_REPLICATE_TAGS_391810
391833,CANNOT_RUN_COMMAND_391833,CANNOT_RUN_COMMAND_391833
003906,CONTAINS_EXTERNAL_TABLE_003906,CONTAINS_EXTERNAL_TABLE_003906
003948,CONTAINS_PYTHON_UDF_003948,CONTAINS_PYTHON_UDF_003948
090542,DX_ALREADY_HAS_ACCOUNT_090542,DX_ALREADY_HAS_ACCOUNT_090542
090543,DX_DOES_NOT_HAVE_ACCOUNT_090543,DX_DOES_NOT_HAVE_ACCOUNT_090543
394209,EMAIL_RECIPIENT_NOT_ALLOWED_394209,EMAIL_RECIPIENT_NOT_ALLOWED_394209
003001,INSUF_PRIV_003001,INSUF_PRIV_003001
093085,INTERNAL_DISTRIBUTION_FLAG,INTERNAL_DISTRIBUTION_FLAG
090302,INVALID_IP_ADDRESS_090302,INVALID_IP_ADDRESS_090302
090622,INVALID_PROFILE_STATE_090622,INVALID_PROFILE_STATE_090622
001420,INVALID_PROPERTY_001420,INVALID_PROPERTY_001420
090566,LISTING_ALREADY_FULFILLED_090566,LISTING_ALREADY_FULFILLED_090566
090532,LISTING_ALREADY_REQUESTED_090532,LISTING_ALREADY_REQUESTED_090532
090553,LISTING_CANNOT_DROP_PUBLISHED_090553,LISTING_CANNOT_DROP_PUBLISHED_090553
090554,LISTING_CANNOT_EDIT_PUBLISHED_090554,LISTING_CANNOT_EDIT_PUBLISHED_090554
090561,LISTING_NO_REQUEST_090561,LISTING_NO_REQUEST_090561
090659,MONETIZATION_NOT_ENABLED_FOR_ACCOUNT_090659,MONETIZATION_NOT_ENABLED_FOR_ACCOUNT_090659
093079,NATIVE_APPS_APPLICATION_NO_LONGER_INSTALLED,NATIVE_APPS_APPLICATION_NO_LONGER_INSTALLED
092521,NATIVE_APPS_CREATION_FEATURE_NOT_ENABLED_092521,NATIVE_APPS_CREATION_FEATURE_NOT_ENABLED_092521
093082,NATIVE_APPS_INSTALLATION_SCRIPT_ERROR_093082,NATIVE_APPS_INSTALLATION_SCRIPT_ERROR_093082
000606,NO_ACTIVE_WAREHOUSE,NO_ACTIVE_WAREHOUSE
090720,NO_DEFAULT_RELEASE_DIRECTIVE,NO_DEFAULT_RELEASE_DIRECTIVE
000603,NO_FEATURED_SECTIONS,NO_FEATURED_SECTIONS
090594,NO_IMPORT_SHARE_PRIV_090594,NO_IMPORT_SHARE_PRIV_090594
042119,NO_SUITABLE_BILLING_ENTITY_FOR_TARGET_CLOUD_042119,NO_SUITABLE_BILLING_ENTITY_FOR_TARGET_CLOUD_042119
093086,NONE_APPROVED_VERSION,NONE_APPROVED_VERSION
001999,NOT_FOUND_001999,NOT_FOUND_001999
002003,NOT_FOUND_002003,NOT_FOUND_002003
002043,NOT_FOUND_002043,NOT_FOUND_002043
100357,PYTHON_UDF_ERROR,PYTHON_UDF_ERROR
091016,REMOTE_FILE_NOT_FOUND,REMOTE_FILE_NOT_FOUND
000612,RESULT_NOT_FOUND_000612,RESULT_NOT_FOUND_000612
003935,REVOKE_PARTIALLY_EXECUTED_DEPENDENT_GRANTS_NO_CASCADE_SPECIFIED,REVOKE_PARTIALLY_EXECUTED_DEPENDENT_GRANTS_NO_CASCADE_SPECIFIED
090567,SHARE_ALREADY_ATTACHED_TO_LISTING_090567,SHARE_ALREADY_ATTACHED_TO_LISTING_090567
090602,SHARE_HAS_NON_CONSUMER_TARGETS_090602,SHARE_HAS_NON_CONSUMER_TARGETS_090602
090557,SHARE_LISTING_ALREADY_SET_090557,SHARE_LISTING_ALREADY_SET_090557
003027,SHARING_NOT_ENABLED_003027,SHARING_NOT_ENABLED_003027
000630,SQL_EXECUTION_TIMED_OUT_AND_WAS_CANCELED,SQL_EXECUTION_TIMED_OUT_AND_WAS_CANCELED
390114,TOKEN_EXPIRED_ERROR,TOKEN_EXPIRED_ERROR
000666,TRIAL_ACCOUNT_SUSPENDED_000666,TRIAL_ACCOUNT_SUSPENDED_000666
002140,UNKNOWN_FUNCTION_REQUEST_002140,UNKNOWN_FUNCTION_REQUEST_002140
002004,UNKNOWN_IDENTIFIER,UNKNOWN_IDENTIFIER
000002,UNSUPPORTED_FEATURE,UNSUPPORTED_FEATURE
100315;,USER_ERROR_REPORT_100315,USER_ERROR_REPORT_100315
091456,USER_TASK_RETRY_TARGET_RUN_HAD_NO_FAILURES,USER_TASK_RETRY_TARGET_RUN_HAD_NO_FAILURES
090063,WAREHOUSE_ALREADY_RESUMED_ERROR,WAREHOUSE_ALREADY_RESUMED_ERROR
090064,WAREHOUSE_ALREADY_SUSPENDED_ERROR,WAREHOUSE_ALREADY_SUSPENDED_ERROR
090073,WAREHOUSE_CANNOT_BE_RESUMED_BECAUSE_RESOURCE_MONITOR_EXCEEDED_QUOTA_ERROR,WAREHOUSE_CANNOT_BE_RESUMED_BECAUSE_RESOURCE_MONITOR_EXCEEDED_QUOTA_ERROR
092803,WAREHOUSE_DO_NOT_EXIST_OR_HAVE_ROLE_ACCESS_ERROR,WAREHOUSE_DO_NOT_EXIST_OR_HAVE_ROLE_ACCESS_ERROR
000608,WAREHOUSE_HIBERNATED,WAREHOUSE_HIBERNATED
000608,WAREHOUSE_SUSPENDED_ERROR,WAREHOUSE_SUSPENDED_ERROR
090109,WAREHOUSE_SUSPENDED_WHILE_QUEUED_ERROR,WAREHOUSE_SUSPENDED_WHILE_QUEUED_ERROR
